"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Other","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Policy Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Policy Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Project Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","5.6","Corporate Finance Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Corporate Finance Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Corporate Finance Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Corporate Finance Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Corporate Finance Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Corporate Finance Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","8.38","Corporate Finance Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Counter-fraud Standards and Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Counter-fraud Standards and Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Counter-fraud Standards and Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Digital, Data and Technology Professions","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Government Legal Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Government Legal Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","24.65","Government Tax Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Government Tax Profession","East of England"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","107.94","Government Tax Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","33.01","Government Tax Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","76.82","Government Tax Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","26.97","Government Tax Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","58.4","Government Tax Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","15.1","Government Tax Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","22.36","Government Tax Profession","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","38.28","Government Tax Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","41.2","Government Tax Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","26.39","Government Tax Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Human Resources Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Intelligence Analysis","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Intelligence Analysis","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Operational Delivery Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","9.6","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","9.94","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","33.08","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","9.48","Operational Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","10.81","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","5","Operational Delivery Profession","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","9.45","Operational Delivery Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","6","Operational Delivery Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","22.8","Operational Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Other","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","15","Other","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","9.5","Other","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","15.81","Other","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","5","Other","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Other","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Other","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Other","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Other","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Other","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Policy Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Project Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Higher Officer (HO)","37682","46077","Customer Compliance, Higher Officer","<5","Project Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","7.23","Corporate Finance Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Corporate Finance Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Corporate Finance Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Digital, Data and Technology Professions","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Government Legal Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","32.44","Government Tax Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","191.5","Government Tax Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","52.74","Government Tax Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","79.95","Government Tax Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","26.42","Government Tax Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","106.2","Government Tax Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","29.78","Government Tax Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","27.98","Government Tax Profession","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","17.19","Government Tax Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","40.31","Government Tax Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","20.95","Government Tax Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Human Resources Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Operational Delivery Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","7.43","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","12.72","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","11.32","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Operational Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","8.65","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Operational Delivery Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Operational Delivery Profession","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Operational Delivery Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","9.81","Operational Delivery Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","15.94","Operational Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","6.59","Other","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Other","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Other","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Other","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Other","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Officer (O)","31096","37919","Customer Compliance, Officer","<5","Other","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Corporate Finance Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Corporate Finance Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Corporate Finance Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Corporate Finance Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Corporate Finance Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Corporate Finance Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Corporate Finance Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Counter-fraud Standards and Profession","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Digital, Data and Technology Professions","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Finance Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Legal Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Legal Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Legal Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Legal Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Statistical Service Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","6","Government Tax Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Tax Profession","East of England"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","33.52","Government Tax Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","7.09","Government Tax Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","18.9","Government Tax Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","8.49","Government Tax Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","15.75","Government Tax Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","5.59","Government Tax Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","9.25","Government Tax Profession","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","11.32","Government Tax Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","11.55","Government Tax Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Government Tax Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","7.47","Operational Delivery Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","8","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","8.86","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","18.6","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Operational Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","11.37","Operational Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Operational Delivery Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Operational Delivery Profession","South West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Operational Delivery Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Operational Delivery Profession","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","12.97","Operational Delivery Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Other","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","8.66","Other","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Other","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Other","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Other","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Other","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Other","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Other","West Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Policy Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Project Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Project Delivery Profession","Northern Ireland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Project Delivery Profession","Scotland"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD303","Senior Officer (SO)","45544","55157","Customer Compliance, Senior Officer","<5","Project Delivery Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Assistant Officer (AO)","28016","31471","Customer Compliance, Assistant Officer","<5","Operational Delivery Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Assistant Officer (AO)","28016","31471","Customer Compliance, Assistant Officer","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 6 (6)","71725","87612","Customer Compliance, Grade 6","<5","Government Statistical Service Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 6 (6)","71725","87612","Customer Compliance, Grade 6","<5","Government Tax Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 6 (6)","71725","87612","Customer Compliance, Grade 6","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 6 (6)","71725","87612","Customer Compliance, Grade 6","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 6 (6)","71725","87612","Customer Compliance, Grade 6","<5","Project Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Digital, Data and Technology Professions","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Government Legal Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Government Tax Profession","London"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Government Tax Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Government Tax Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Government Tax Profession","South East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Government Tax Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Human Resources Profession","Yorkshire and The Humber"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","East Midlands"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","North East"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","North West"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Operational Delivery Profession","Wales"
"HM Revenue and Customs","HM Revenue and Customs","Customer Compliance","OD305","Grade 7 (7)","58541","72711","Customer Compliance, Grade 7","<5","Policy Profession","London"
